timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,algorithm,dataset,language,phase
2024-09-06T15:46:39,codecarbon,fac42d3d-e99c-4441-8301-bb0144cdc164,0.0009698867797851,2.603603137599098e-09,2.684440278870316e-06,42.5,0.0,3.0,1.0954671435885961e-08,0,5.557139714558919e-10,1.1510385407341852e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:46:43,codecarbon,60301909-cb71-4b7c-9036-2f24ffd05bae,0.0010180473327636,2.693560254308912e-09,2.645810432995056e-06,42.5,0.0,3.0,1.1320577727423774e-08,0,5.875031153361001e-10,1.1908080842759872e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:46:47,codecarbon,f787a47b-1db1-4f38-9fee-fff04f2b7e1d,0.0009748935699462,2.6080298366811544e-09,2.675194418222331e-06,42.5,0.0,3.0,1.0980003409915501e-08,0,5.49952189127604e-10,1.1529955599043105e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:46:51,codecarbon,9e6b11a2-1193-41a3-9fda-7736b672747a,0.0009601116180419,2.56970256222619e-09,2.676462313274288e-06,42.5,0.0,3.0,1.0813938246832956e-08,0,5.46574592590332e-10,1.1360512839423288e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:46:59,codecarbon,94dd7088-5c28-4f0a-a5ce-7a1b8bf824ca,0.001176118850708,3.1673593695958453e-09,2.6930606270693967e-06,42.5,0.0,3.0,1.3307730356852214e-08,0,6.949901580810546e-10,1.4002720514933269e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:47:03,codecarbon,8ff7400b-f1bf-4115-8ed9-31c36cdb06a8,0.0012059211730957,3.2588220134046342e-09,2.7023507722639608e-06,42.5,0.0,3.0,1.3682080639733211e-08,0,7.249911626180012e-10,1.440707180235121e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:47:08,codecarbon,13802a21-3e8d-4b62-bf93-66304c15618c,0.0009918212890625,2.6448590742217174e-09,2.6666689890491456e-06,42.5,0.0,3.0,1.1140439245435928e-08,0,5.523363749186199e-10,1.1692775620354548e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:47:12,codecarbon,ad7b098a-3b8c-450c-beb0-e8b9b9cacf06,0.0003941059112548,1.0393979326883951e-09,2.6373568703367612e-06,42.5,0.0,3.0,4.390875498453776e-09,0,2.0424524943033855e-10,4.595120747884114e-09,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:47:16,codecarbon,8a9f3dbb-ef2f-45f4-8444-7b86128c3d86,0.0010051727294921,2.6842274843321913e-09,2.6704141542799916e-06,42.5,0.0,3.0,1.1309319072299534e-08,0,5.575021107991535e-10,1.1866821183098689e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
2024-09-06T15:47:23,codecarbon,c3f88139-4016-4740-b6cf-03eb89e2b46c,0.0011289119720458,3.05076715654797e-09,2.702395963627831e-06,42.5,0.0,3.0,1.2812349531385634e-08,0,6.74923261006673e-10,1.3487272792392309e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,randomForest,iris,java,train
