timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,algorithm,dataset,language,phase
2024-09-06T17:48:58,codecarbon,0245f5a6-cc75-4a1f-9039-703c268aafd0,0.06184983253479,1.7661667966180378e-07,2.8555724797226945e-06,42.5,0.0,3.0,7.294651534822253e-07,0,5.134741465250651e-08,7.808125681347318e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:01,codecarbon,6e65e72c-75fb-49b2-865d-5c53210f4924,0.0455021858215332,1.29867696340349e-07,2.8540979734404568e-06,42.5,0.0,3.0,5.364242527219984e-07,0,3.771364688873291e-08,5.741378996107314e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:03,codecarbon,3ace5eb8-b298-4fdc-954d-248d23293dea,0.0509200096130371,1.453627010859384e-07,2.8547265051717697e-06,42.5,0.0,3.0,6.00407189793057e-07,0,4.2233268419901547e-08,6.426404582129585e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:05,codecarbon,89166cb2-9bd1-43be-8b8f-1b5034e14a6f,0.0567948818206787,1.621669601339764e-07,2.8553094035126996e-06,42.5,0.0,3.0,6.697886519961887e-07,0,4.7142505645751984e-08,7.169311576419407e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:06,codecarbon,6a04114e-1220-49bf-a737-a77a0de3f915,0.0474193096160888,1.353748470567333e-07,2.854846436035037e-06,42.5,0.0,3.0,5.591470334264968e-07,0,3.933767477671305e-08,5.984847082032098e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:09,codecarbon,31efb455-1f07-4e21-85ff-13b5c228a88a,0.0428910255432128,1.2241328488985697e-07,2.854053577397562e-06,42.5,0.0,3.0,5.05643089612325e-07,0,3.5539269447326664e-08,5.411823590596516e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:10,codecarbon,127d5792-26b5-4003-974f-904f2f3e1166,0.0785238742828369,2.242979063354599e-07,2.8564294411602284e-06,42.5,0.0,3.0,9.263677729500666e-07,0,6.524085998535156e-08,9.916086329354182e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:13,codecarbon,97a00208-3ce6-44f3-b12e-b92108534dcc,0.063309907913208,1.8037103730612337e-07,2.8490175274523418e-06,42.5,0.0,3.0,7.450612054930793e-07,0,5.2349170049031577e-08,7.974103755421109e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:15,codecarbon,b9173fa5-8279-4b05-9580-b79ca47fa99d,0.0529119968414306,1.5105103187693493e-07,2.8547596177406093e-06,42.5,0.0,3.0,6.238983737097847e-07,0,4.3889880180358884e-08,6.677882538901436e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:16,codecarbon,7d624352-d00e-4a1b-ab98-9ed2be51573f,0.0397520065307617,1.1342534803046121e-07,2.8533238427269844e-06,42.5,0.0,3.0,4.685289329952664e-07,0,3.2918254534403495e-08,5.014471875296699e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:18,codecarbon,f65d4203-a6fb-4c9e-a985-c238cacf6df7,0.0379183292388916,1.081654108558761e-07,2.8525890519705268e-06,42.5,0.0,3.0,4.4681661658816875e-07,0,3.1376679738362634e-08,4.781932963265314e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:23,codecarbon,f6398320-258d-490f-847a-967d418a8fd9,0.0346848964691162,9.891366220566964e-08,2.851779081818606e-06,42.5,0.0,3.0,4.0860192643271556e-07,0,2.8689901034037274e-08,4.372918274667528e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:27,codecarbon,2b8f6ba4-e0e6-4697-b0f0-1f6491d00bca,0.0357990264892578,1.0207387593918377e-07,2.8513031204860555e-06,42.5,0.0,3.0,4.217070009973315e-07,0,2.95559565226237e-08,4.512629575199551e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:28,codecarbon,22dfab2c-fcac-4dbe-9306-dff81672fdcc,0.0326521396636962,9.308847825235792e-08,2.8509151072833583e-06,42.5,0.0,3.0,3.8456751240624323e-07,0,2.6971499125162764e-08,4.11539011531406e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:30,codecarbon,6f8c136f-075e-460d-8e89-42bda8dd0e3d,0.0281908512115478,8.037750770052276e-08,2.8511912285783552e-06,42.5,0.0,3.0,3.320430715878805e-07,0,2.3301442464192703e-08,3.553445140520731e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:32,codecarbon,6566589d-eca5-44f9-a69a-b536081e1bbe,0.0326118469238281,9.296482279525864e-08,2.8506457488408325e-06,42.5,0.0,3.0,3.841030928823683e-07,0,2.6889244715372722e-08,4.10992337597741e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:34,codecarbon,5c8a8005-9894-4f24-b6d4-77217c31bc85,0.0319290161132812,9.10295987877581e-08,2.850999180957952e-06,42.5,0.0,3.0,3.760418958134122e-07,0,2.6394923528035483e-08,4.024368193414477e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
2024-09-06T17:49:36,codecarbon,be99e8d5-45b9-4052-b969-28fe8a372f08,0.030519962310791,8.700957927703858e-08,2.850907166627607e-06,42.5,0.0,3.0,3.594438234965007e-07,0,2.5220712025960288e-08,3.84664535522461e-07,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N,SVC,iris,matlab,train
