,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,KNN,breastCancer,R,test,0.007827655474344837,9.695886130686161e-08,2.1931706592166868e-08,2.802321571382482e-06,42.5,9.084937197190746e-08
1,KNN,breastCancer,R,train,0.00184981822967524,2.10930969980028e-08,4.77117416856024e-09,2.581534042408814e-06,42.5,2.0039280255635584e-08
2,KNN,breastCancer,cpp,test,0.002279015300397633,2.7411398433893435e-08,8.238171924411022e-09,3.798234849676735e-06,42.5,2.5778905461872155e-08
3,KNN,breastCancer,cpp,train,0.0007312153332652867,8.239748254675729e-09,2.5643254518608666e-09,3.4759811522914976e-06,42.5,7.817131254510228e-09
4,KNN,breastCancer,java,test,0.0010161479314167734,1.1971068603021129e-08,2.707807833728967e-09,2.664737859014149e-06,42.5,1.1395353961873938e-08
5,KNN,breastCancer,java,train,0.0010160207748412568,1.1948221259646947e-08,2.4478156174052526e-09,2.486032255586665e-06,42.5,1.13639235496521e-08
6,KNN,breastCancer,matlab,test,0.018141937255859338,2.2758561262377992e-07,4.845044885599072e-08,2.649041890990173e-06,42.5,2.1281213120177943e-07
7,KNN,breastCancer,matlab,train,0.021046829223632754,2.6457310937069083e-07,5.58788051368533e-08,2.6539437207003932e-06,42.5,2.4735199632468053e-07
8,KNN,breastCancer,python,test,0.034572132428487105,4.35021354092492e-07,9.237053545574921e-08,2.7407559269013994e-06,42.5,4.0684501330057783e-07
9,KNN,breastCancer,python,train,0.0031792561213175034,3.784600231382582e-08,8.244351270314096e-09,2.6015997079126836e-06,42.5,3.570513592825996e-08
10,KNN,iris,R,test,0.003874890009562123,4.6800723782292126e-08,1.0586136516659348e-08,2.7312388775316433e-06,42.5,4.40397306724831e-08
11,KNN,iris,R,train,0.0019244670867919502,2.1847963333129885e-08,4.941921914100647e-09,2.565883970563347e-06,42.5,2.0775033368004693e-08
12,KNN,iris,cpp,test,0.0015842444662363133,1.883940578894302e-08,5.799335935157727e-09,3.770640588799997e-06,42.5,1.775281784476748e-08
13,KNN,iris,cpp,train,0.0007218720663027966,8.031484207027394e-09,2.6561563939796858e-09,3.5946178130560338e-06,42.5,7.63916131829858e-09
14,KNN,iris,java,test,0.0010138909022012867,1.1950618690914579e-08,2.7031821454101138e-09,2.6660269449129405e-06,42.5,1.1366738213433161e-08
15,KNN,iris,java,train,0.0009200096130370566,1.0884371068742541e-08,2.4620011982652876e-09,2.6732099259520913e-06,42.5,1.0351207521226672e-08
16,KNN,iris,matlab,test,0.01567215124766027,1.9629312223858304e-07,4.440071907787854e-08,2.8298033647676985e-06,42.5,1.8359094858169558e-07
17,KNN,iris,matlab,train,0.02362552483876542,2.9711614935486404e-07,6.010785814525499e-08,2.5623290773844326e-06,42.5,2.777343215765777e-07
18,KNN,iris,python,test,0.005832735697428327,7.147044605678983e-08,1.552611372911704e-08,2.6795772366313243e-06,42.5,6.708638535605538e-08
19,KNN,iris,python,train,0.0034543196360269732,4.1381504800584586e-08,9.36033085987303e-09,2.706405702710505e-06,42.5,3.900167014863756e-08
20,KNN,wine,R,test,0.08686912059783931,1.0972198247909547e-06,2.3960901715602955e-07,2.7627723038370156e-06,42.5,1.0249693857298959e-06
