,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
0,R,test,0.03630329351576543,4.5722669242130597e-07,9.901239422258673e-08,2.7327056254639806e-06,42.5,4.273141910054276e-07
1,R,train,0.5280594916570754,6.672510597913984e-06,1.4884295760301333e-06,2.7299162256623486e-06,42.5,6.232785941274078e-06
2,cpp,test,0.0018857576206394349,2.2635551759106226e-08,7.1874489752104196e-09,3.6653463238574543e-06,42.5,2.129470106072282e-08
3,cpp,train,0.013148384714383113,1.6513837780797268e-07,5.2197410508781496e-08,3.8339987373183735e-06,42.5,1.5438538490578885e-07
4,java,test,0.000970462011912463,1.1467343022163164e-08,2.4514872236410268e-09,2.5742061840529013e-06,42.5,1.0904816145198897e-08
5,java,train,0.057531412820967374,7.263962418839625e-07,1.6320429571363957e-07,2.6058590136544835e-06,42.5,6.786812516011469e-07
6,matlab,test,0.048979821280827555,6.174157045295419e-07,1.3713506767730154e-07,2.7351707856907375e-06,42.5,5.769236546134613e-07
7,matlab,train,0.10262255895705447,1.295896755744961e-06,2.866913929783032e-07,2.7347123868170023e-06,42.5,1.2106202750399421e-06
8,python,test,0.03202763133578825,4.0275569499274833e-07,8.791383989979954e-08,2.637251085477709e-06,42.5,3.765060160000279e-07
9,python,train,0.21818519736093187,2.756107672654763e-06,6.149033550697418e-07,2.736556263266295e-06,42.5,2.5746064014220364e-06
